Pin Number	Description		Function
1			PC6				Reset
2			PD0				Digital Pin (RX)
3			PD1				Digital Pin (TX)
4			PD2				Digital Pin 2
5			PD3				Digital Pin 3 (PWM)
6			PD4				Digital Pin 4
7			Vcc				Positive Voltage (Power)
8			GND				Ground
9			XTAL 1			Crystal Oscillator
10			XTAL 2			Crystal Oscillator
11			PD5				Digital Pin 5 (PWM)
12			PD6				Digital Pin 6 (PWM)
13			PD7				Digital Pin 7
14			PB0				Digital Pin 8
15			PB1				Digital Pin 9 (PWM)
16			PB2				Digital Pin 10 (PWM) (SS)
17			PB3				Digital Pin 11 (PWM) (MOSI)
18			PB4				Digital Pin 12 (MISO)
19			PB5				Digital Pin 13 (SCK)
20			AVCC			Positive voltage for ADC (power)
21			AREF			Reference Voltage
22			GND				Ground
23			PC0				Analog Input A0
24			PC1				Analog Input A1
25			PC2				Analog Input A2
26			PC3				Analog Input A3
27			PC4				Analog Input A4
28			PC5				Analog Input A5
